status,copyright,response.docs.abstract,response.docs.web_url,response.docs.snippet,response.docs.lead_paragraph,response.docs.source,response.docs.multimedia,response.docs.keywords,response.docs.pub_date,response.docs.document_type,response.docs.news_desk,response.docs.section_name,response.docs.type_of_material,response.docs._id,response.docs.word_count,response.docs.uri,response.docs.print_section,response.docs.print_page,response.docs.subsection_name,response.docs.headline.main,response.docs.headline.kicker,response.docs.headline.content_kicker,response.docs.headline.print_headline,response.docs.headline.name,response.docs.headline.seo,response.docs.headline.sub,response.docs.byline.original,response.docs.byline.person,response.docs.byline.organization,response.meta.hits,response.meta.offset,response.meta.time
OK,Copyright (c) 2024 The New York Times Company. All Rights Reserved.,"One of the few women at the top of her field in book and magazine publishing, she was also a champion of her fellow professionals.",https://www.nytimes.com/2023/11/03/arts/helen-marcus-dead.html,"One of the few women at the top of her field in book and magazine publishing, she was also a champion of her fellow professionals.","Helen Marcus, a late-blooming photographer whose evocative black-and-white portraits of literary figures and film and television personalities graced book jackets and magazine covers for decades, died on Oct. 1 at her home in Manhattan. She was 97.",The New York Times,,,2023-11-03T16:48:14+0000,article,Obits,Arts,Obituary (Obit),nyt://article/00b64e91-5534-53c9-8f48-7add84888a02,743,nyt://article/00b64e91-5534-53c9-8f48-7add84888a02,A,20,NA,"Helen Marcus, Prolific Photographer of the Famous, Dies at 97",NA,NA,"Helen Marcus, 97, Prolific Photographer of the Famous",NA,NA,NA,By Sam Roberts,,NA,150929,340,40
OK,Copyright (c) 2024 The New York Times Company. All Rights Reserved.,Feeling stuck on today’s puzzle? We can help.,https://www.nytimes.com/2023/11/08/crosswords/spelling-bee-forum.html,Feeling stuck on today’s puzzle? We can help.,"Hi busy bees! Welcome to today’s Spelling Bee forum. There are a number of terms that appear in both this article and other online discussions of the Spelling Bee; a glossary of those terms compiled by Monicat, a Times reader, can be found below.",The New York Times,,,2023-11-08T08:00:04+0000,article,Games,Crosswords & Games,News,nyt://article/00b6dcf8-febb-5823-8acc-209266d482b7,215,nyt://article/00b6dcf8-febb-5823-8acc-209266d482b7,NA,NA,NA,Spelling Bee Forum,NA,NA,NA,NA,NA,NA,By New York Times Games,,The New York Times,150929,340,40
OK,Copyright (c) 2024 The New York Times Company. All Rights Reserved.,"John Sykes, the chairman of the organization behind the hall, talks about the ouster of Jann Wenner, the need to diversify inductees and surprises at this year’s ceremony.",https://www.nytimes.com/2023/11/01/arts/music/rock-and-roll-hall-of-fame-john-sykes.html,"John Sykes, the chairman of the organization behind the hall, talks about the ouster of Jann Wenner, the need to diversify inductees and surprises at this year’s ceremony.","The 38th annual Rock & Roll Hall of Fame induction ceremony will take place at Barclays Center in Brooklyn on Friday, bringing Kate Bush, Willie Nelson, George Michael, Sheryl Crow, Missy Elliott, Rage Against the Machine and the Spinners into pop music’s leading pantheon.",The New York Times,,,2023-11-01T09:01:12+0000,article,Culture,Arts,News,nyt://article/00b73018-e38c-584b-b0d2-56181dc92b9f,1372,nyt://article/00b73018-e38c-584b-b0d2-56181dc92b9f,C,1,Music,‘We’re Making Progress’: How the Rock Hall of Fame Is Trying to Evolve,NA,NA,Rock Hall  Is Trying  To Evolve,NA,NA,NA,By Ben Sisario,,NA,150929,340,40
OK,Copyright (c) 2024 The New York Times Company. All Rights Reserved.,"Transcript withholding can make it difficult for students to apply for jobs even if they’ve graduated, since they can’t prove to prospective employers that they have a degree.",https://www.nytimes.com/2022/09/30/business/college-transcripts-student-loans.html,"Transcript withholding can make it difficult for students to apply for jobs even if they’ve graduated, since they can’t prove to prospective employers that they have a degree.","Colleges that lend directly to their students cannot later refuse to release a student’s transcript as a way of forcing them to make loan payments, the Consumer Financial Protection Board said on Thursday, calling the practice “abusive” and a violation of federal law.The loans made directly by a college, rather than a traditional lender, are used to pay for classes, but they don’t come with the same protections as federal student loans do.Hundreds of thousands of students at for-profit colleges have taken these loans, which are known as institutional loans, and they’re also offered at some public and nonprofit institutions.",The New York Times,,,2022-09-30T20:26:42+0000,article,Business,Business Day,News,nyt://article/00b73bca-7dcc-5c1f-844f-a93bad90767c,653,nyt://article/00b73bca-7dcc-5c1f-844f-a93bad90767c,B,4,NA,"Withholding College Transcripts for Loan Payment Is ‘Abusive,’ Agency Says",NA,NA,Schools Told: Ignore Debt In Releasing Transcripts,NA,NA,NA,By Meredith Kolodner,,NA,150929,340,40
OK,Copyright (c) 2024 The New York Times Company. All Rights Reserved.,"Buzzy debuts (Chappell Roan, Evian Christ) and anticipated follow-ups (Jorja Smith, yeule) are due this season.",https://www.nytimes.com/2023/09/04/arts/music/albums-tours-festivals-fall.html,"Buzzy debuts (Chappell Roan, Evian Christ) and anticipated follow-ups (Jorja Smith, yeule) are due this season.","After a summer dominated by blockbuster tours by Taylor Swift and Beyoncé, this fall the music business gets back to the business of releasing albums. Longstanding acts are returning with new LPs (Dolly Parton, Wilco, Usher), and long-awaited follow-ups are arriving, too (the Streets, Sampha, Nicki Minaj). Dates and lineups are subject to change.",The New York Times,,,2023-09-04T09:00:46+0000,article,Arts&Leisure,Arts,News,nyt://article/00b74496-d302-509f-8577-1e75d59acc77,2797,nyt://article/00b74496-d302-509f-8577-1e75d59acc77,AR,47,Music,"35 Pop and Jazz Albums, Shows and Festivals Coming This Fall",Fall Preview,NA,Pop Listings,NA,NA,NA,NA,,NA,150929,340,40
OK,Copyright (c) 2024 The New York Times Company. All Rights Reserved.,Josep Borrell Fontelles told international leaders meeting in Munich that Western allies’ recent decision to provide Ukraine with tanks took too long.,https://www.nytimes.com/2023/02/19/world/europe/ukraine-russia-war.html,Josep Borrell Fontelles told international leaders meeting in Munich that Western allies’ recent decision to provide Ukraine with tanks took too long.,"The European Union’s top diplomat said on Sunday that Western nations must quickly increase their military support for Ukraine, rebuking the delays in providing weapons as the war enters what he called a “critical moment” and as the anniversary of Russia’s invasion approaches.",The New York Times,,,2023-02-19T10:29:33+0000,article,Foreign,World,News,nyt://article/00b827e6-5ecd-50cd-a174-90fdaab5e425,912,nyt://article/00b827e6-5ecd-50cd-a174-90fdaab5e425,A,7,Europe,E.U.’s Top Diplomat Calls for West to Accelerate Military Support for Ukraine,NA,NA, U.S. Sees ‘Serious Problem’ If China Gives Russia Arms,NA,NA,NA,By Cassandra Vinograd,,NA,150929,340,40
OK,Copyright (c) 2024 The New York Times Company. All Rights Reserved.,"From condoms to IUDs to tubal ligation, experts weigh in on how to assess and obtain birth control options.",https://www.nytimes.com/article/birth-control-options.html,"From condoms to IUDs to tubal ligation, experts weigh in on how to assess and obtain birth control options.","Over the past few decades, the number of birth control methods available in the United States has grown sharply. Women today are faced with a dizzying array of new pills, implants, gels and patches.",The New York Times,,,2022-05-06T22:41:43+0000,article,Well,Well,News,nyt://article/00b8434e-5bd8-5784-8c7d-f2e34c0a79dd,2322,nyt://article/00b8434e-5bd8-5784-8c7d-f2e34c0a79dd,NA,NA,NA,A Comprehensive Guide to Birth Control,NA,NA,NA,NA,NA,NA,By Dani Blum and Nicole Stock,,NA,150929,340,40
OK,Copyright (c) 2024 The New York Times Company. All Rights Reserved.,Time away can make work stress even more apparent. Here’s what to do about it.,https://www.nytimes.com/2024/06/12/well/live/burnout-work-vacation.html,Time away can make work stress even more apparent. Here’s what to do about it.,The email does not find you well.,The New York Times,,,2024-06-12T15:00:08+0000,article,Well,Well,News,nyt://article/00b864aa-8934-5f77-9bdd-44b69beb1559,780,nyt://article/00b864aa-8934-5f77-9bdd-44b69beb1559,NA,NA,Live,Back From Vacation and Still Burned Out,NA,NA,NA,NA,NA,NA,By Dani Blum,,NA,150929,340,40
OK,Copyright (c) 2024 The New York Times Company. All Rights Reserved.,"Favorite offerings include an art walk in Santa Rosa, a public library dedicated to the arts in Glendale and the Broad family’s collection in L.A.",https://www.nytimes.com/2023/08/17/us/california-best-art-museums.html,"Favorite offerings include an art walk in Santa Rosa, a public library dedicated to the arts in Glendale and the Broad family’s collection in L.A.","For several weeks you’ve been emailing me your choices for the best places to experience art in California. Today, in time for the end of summer and the start of the school year, I’m sharing another selection of your suggestions, sorted by region and edited for length and clarity.",The New York Times,,,2023-08-17T13:00:16+0000,article,National,U.S.,briefing,nyt://article/00b8c402-c76c-5fb8-bcb5-005222159afc,1227,nyt://article/00b8c402-c76c-5fb8-bcb5-005222159afc,NA,NA,NA,Readers Recommend the Best Places to Experience Art in California,California Today,NA,NA,NA,NA,NA,By Soumya Karlamangla,,NA,150929,340,40
OK,Copyright (c) 2024 The New York Times Company. All Rights Reserved.,"Try Peruvian chocolates of varying intensity, keep infused salts with you at all times, and more.",https://www.nytimes.com/2022/10/17/dining/via-carota-cookbook.html,"Try Peruvian chocolates of varying intensity, keep infused salts with you at all times, and more.","At Via Carota, the elegantly rustic restaurant that Rita Sodi and Jody Williams have been running in Manhattan since 2014, the deceptively simple seasonal food requires attention to countless details, unseen but tasted. The restaurant’s cookbook, organized by seasons, starts with spring and pages of what’s required to do justice to fava beans and a fistful of other recipes that might explain why one takes a seat in the restaurant instead of shelling peas or attempting fried rabbit with bread at home. But you should add a tangy salmoriglio to your repertoire of dressings and marinades; grill leeks until blackened without and melting within; make a salad of olives, red onion and citrus; cook cannellini beans “until creamy”; serve a soup of onions, bread and egg; and, when summer reappears, assemble a carpaccio of squash, mint, Parmigiano-Reggiano and olive oil. The book is also personal, unpacking the backgrounds of the partners, married and with five restaurants.",The New York Times,,,2022-10-17T15:40:05+0000,article,Dining,Food,News,nyt://article/00b95996-528b-503d-850a-9f88f93a9311,839,nyt://article/00b95996-528b-503d-850a-9f88f93a9311,NA,NA,NA,Embrace Rustic Italian Cooking With the Via Carota Cookbook,Front Burner,NA,NA,NA,NA,NA,By Florence Fabricant,,NA,150929,340,40
OK,Copyright (c) 2024 The New York Times Company. All Rights Reserved.,Forget dinner and a movie: Let’s see if we can gaze into each other’s eyes for three minutes instead.,https://www.nytimes.com/2023/10/02/style/eye-contact-dating-intimacy-non-monogamous.html,Forget dinner and a movie: Let’s see if we can gaze into each other’s eyes for three minutes instead.,What happens when you skip the small talk during a date and go straight to hand-holding?,The New York Times,,,2023-10-02T12:00:11+0000,article,Styles,Style,News,nyt://article/00b9cf02-8197-5603-aaa7-0a46c9821a92,1027,nyt://article/00b9cf02-8197-5603-aaa7-0a46c9821a92,D,3,NA,Extreme Eye Contact and Other Ways of Dating,Third Wheel,NA,"Gaze Into My Eyes, Please, for 226 Seconds",NA,NA,NA,By Gina Cherelus,,NA,150929,350,36
OK,Copyright (c) 2024 The New York Times Company. All Rights Reserved.,"Retrieving viable sperm from men with low fertility and from people who have used estrogen therapy for years has been a challenge, doctors say. A new, less invasive technique has promise.",https://www.nytimes.com/2022/10/21/science/sperm-retrieval-essm-transgender-fertility.html,"Retrieving viable sperm from men with low fertility and from people who have used estrogen therapy for years has been a challenge, doctors say. A new, less invasive technique has promise.","Claire always knew that she wanted to start a family. But as a transgender woman who just turned 41, she also knew it could be complicated.",The New York Times,,,2022-10-21T09:00:31+0000,article,Science,Science,News,nyt://article/00ba76de-719c-5213-8490-afa440262969,1202,nyt://article/00ba76de-719c-5213-8490-afa440262969,D,3,NA,A New Procedure Could Expand Reproductive Choices for Transgender Women,NA,NA,Less Invasive Procedure  To Save Viable Sperm,NA,NA,NA,By Jacqueline Mroz,,NA,150929,350,36
OK,Copyright (c) 2024 The New York Times Company. All Rights Reserved.,"Although renting is still cheaper than paying a mortgage in most U.S. metro areas, the gap between the two is fluctuating.",https://www.nytimes.com/2023/01/12/realestate/renting-buying-save-the-most.html,"Although renting is still cheaper than paying a mortgage in most U.S. metro areas, the gap between the two is fluctuating.","For the past few years, frustrated home buyers have been able to take some comfort in the fact that, in many parts of the country, renting a home has been cheaper than owning one with a mortgage. According to a recent study by LendingTree, in 2021, the difference between median gross rent and median costs for homes with a mortgage in the nation’s 50 largest metro areas was $564 a month.",The New York Times,,,2023-01-12T13:00:07+0000,article,RealEstate,Real Estate,News,nyt://article/00ba8055-1b27-5006-86f3-1e8618bbc5f2,300,nyt://article/00ba8055-1b27-5006-86f3-1e8618bbc5f2,RE,2,NA,Renting Rather Than Buying? Here’s Where You’ll Save the Most.,Calculator,NA,Where Ownership Is the Pricier Option,NA,NA,NA,By Michael Kolomatsky,,NA,150929,350,36
OK,Copyright (c) 2024 The New York Times Company. All Rights Reserved.,"In his new video installation, the artist known for maximalist works like “The Cremaster Cycle” returns to the football fields of his childhood.",https://www.nytimes.com/2023/05/14/arts/design/matthew-barney-secondary-football.html,"In his new video installation, the artist known for maximalist works like “The Cremaster Cycle” returns to the football fields of his childhood.","The hit, 45 years ago, shook up the world of football. Then, just as quickly, people moved on. But not Darryl Stingley, the receiver for the New England Patriots who bore the head-on charge by Jack Tatum of the Oakland Raiders. Stingley was rendered quadriplegic. Tatum, a defender known as “The Assassin,” notoriously never apologized.",The New York Times,,,2023-05-14T09:00:25+0000,article,Arts&Leisure,Arts,News,nyt://article/00ba87b5-6af8-51c7-8ae2-f6eac9aed85b,1733,nyt://article/00ba87b5-6af8-51c7-8ae2-f6eac9aed85b,AR,10,Art & Design,"Matthew Barney, Back in the Game",NA,NA,"Matthew Barney, Back in the Game",NA,NA,NA,By Siddhartha Mitter,,NA,150929,350,36
OK,Copyright (c) 2024 The New York Times Company. All Rights Reserved.,The president suggested that Israel should consider alternative ways to retaliate against Iran.,https://www.nytimes.com/2024/10/04/world/middleeast/biden-israel-iran-oil-strike.html,The president suggested that Israel should consider alternative ways to retaliate against Iran.,"A day after President Biden said the United States was “in discussion” about the possibility that Israel might strike Iran’s vast oil fields, he suggested that Israel should consider alternative ways to retaliate against Iran.",The New York Times,,,2024-10-04T20:51:14+0000,article,Foreign,World,News,nyt://article/00badefc-8bc1-53e4-9871-2f3c17d92bec,448,nyt://article/00badefc-8bc1-53e4-9871-2f3c17d92bec,NA,NA,Middle East,"In Rare Visit to White House Press Briefing, Biden Cautions Israel",NA,NA,NA,NA,NA,NA,By Zolan Kanno-Youngs,,NA,150929,350,36
OK,Copyright (c) 2024 The New York Times Company. All Rights Reserved.,"Walter Isaacson, a biographer who has written about Benjamin Franklin and Steve Jobs, is working on a book about the world’s richest man.",https://www.nytimes.com/2022/04/28/books/elon-musk-books-biography.html,"Walter Isaacson, a biographer who has written about Benjamin Franklin and Steve Jobs, is working on a book about the world’s richest man.",What drives Elon Musk?,The New York Times,,,2022-04-28T15:30:38+0000,article,Books,Books,News,nyt://article/00bb58c1-cdb5-5d0a-9fec-198b429a108d,862,nyt://article/00bb58c1-cdb5-5d0a-9fec-198b429a108d,B,4,NA,What Makes Elon Musk Tick?,NA,NA,Biographer Digs Deep on ‘One of the Most Influential People on the Planet’,NA,NA,NA,By Alexandra Alter and Elizabeth A. Harris,,NA,150929,350,36
OK,Copyright (c) 2024 The New York Times Company. All Rights Reserved.,"The improv comedy institution is under new ownership after missteps, and now it has a gleaming new home in Williamsburg.",https://www.nytimes.com/2024/02/12/arts/television/second-city-brooklyn.html,"The improv comedy institution is under new ownership after missteps, and now it has a gleaming new home in Williamsburg.","From the very beginning of the improv theater Second City, its name made clear that it wasn’t a New York institution and didn’t aspire to be.",The New York Times,,,2024-02-12T20:19:48+0000,article,Culture,Arts,News,nyt://article/00bbead4-597f-5be5-b3bf-762dfc82cc60,1308,nyt://article/00bbead4-597f-5be5-b3bf-762dfc82cc60,C,5,Television,Second City Expands to the First City and Sets Up Shop in Brooklyn,NA,NA,Second City Expands to the First City,NA,NA,NA,By Kathryn Shattuck,,NA,150929,350,36
OK,Copyright (c) 2024 The New York Times Company. All Rights Reserved.,"The Republican senator, whose State of the Union response drew savage criticism, is not the first novice lawmaker from the South to see her introductory event veer off the rails.",https://www.nytimes.com/2024/03/15/us/politics/katie-britt-sotu.html,"The Republican senator, whose State of the Union response drew savage criticism, is not the first novice lawmaker from the South to see her introductory event veer off the rails.","Senator Katie Britt, Republican of Alabama, had not finished delivering her breathless, overly dramatized and fact-challenged response to President Biden’s State of the Union address last week when the ridicule and criticism began pouring in from Republicans and Democrats alike.",The New York Times,,,2024-03-15T15:30:32+0000,article,Washington,U.S.,News,nyt://article/00bc03ac-d3fb-518e-9806-beafe6a65757,1152,nyt://article/00bc03ac-d3fb-518e-9806-beafe6a65757,A,11,Politics,When Debuts Flop: Katie Britt Is the Latest in a Long Line of Botched Opening Acts,congressional memo,NA,Britt Joins  Senate Club Of Botched  Opening Acts,NA,NA,NA,By Carl Hulse,,NA,150929,350,36
OK,Copyright (c) 2024 The New York Times Company. All Rights Reserved.,"Since Moscow’s invasion of Ukraine, hundreds of Russian men have faced criminal charges for becoming war refuseniks. That has not stopped others from going to unusual lengths to avoid battle.",https://www.nytimes.com/2023/05/05/world/europe/they-refused-to-fight-for-russia-the-law-did-not-treat-them-kindly.html,"Since Moscow’s invasion of Ukraine, hundreds of Russian men have faced criminal charges for becoming war refuseniks. That has not stopped others from going to unusual lengths to avoid battle.","An officer in Russia’s Federal Guard Service, which is responsible for protecting President Vladimir V. Putin, decided last fall to avoid fighting in Ukraine by sneaking across the southern border into Kazakhstan.",The New York Times,,,2023-05-05T20:00:06+0000,article,Foreign,World,News,nyt://article/00bc44d5-d662-5e53-bb4e-90e67e0393e4,315,nyt://article/00bc44d5-d662-5e53-bb4e-90e67e0393e4,NA,NA,Europe,They refused to fight for Russia. The law did not treat them kindly.,NA,NA,NA,NA,NA,NA,By Neil MacFarquhar,,NA,150929,350,36
OK,Copyright (c) 2024 The New York Times Company. All Rights Reserved.,"The temporary alternate channel will be able to accommodate some barges and tugboats but not larger vessels, the authorities said.",https://www.nytimes.com/2024/04/01/us/key-bridge-baltimore-alternate-channel.html,"The temporary alternate channel will be able to accommodate some barges and tugboats but not larger vessels, the authorities said.","Officials in Baltimore opened a temporary channel on Monday to help restore some traffic in and out of the Port of Baltimore, one of the nation’s busiest commercial shipping hubs.",The New York Times,,,2024-04-01T08:36:54+0000,article,National,U.S.,News,nyt://article/00bc78fa-965f-591a-8c5b-1e133fbc1463,351,nyt://article/00bc78fa-965f-591a-8c5b-1e133fbc1463,A,16,NA,Baltimore Opens Temporary Shipping Route Around Key Bridge Wreckage,NA,NA,Temporary Channel Will Bypass Baltimore Bridge Wreckage,NA,NA,NA,By Mike Ives and Campbell Robertson,,NA,150929,350,36
OK,Copyright (c) 2024 The New York Times Company. All Rights Reserved.,Exclusive evidence obtained in a monthslong investigation identifies the Russian regiment — and commander — behind one of the worst atrocities in Ukraine.,https://www.nytimes.com/2022/12/22/video/russia-ukraine-bucha-massacre-takeaways.html,Exclusive evidence obtained in a monthslong investigation identifies the Russian regiment — and commander — behind one of the worst atrocities in Ukraine.,"When videos and photos emerged in April showing bodies of dozens of civilians strewn along a street in Bucha, Ukrainians and the rest of the world voiced horror and outrage. But in Russia, officials had a completely different reaction: denial.",The New York Times,,,2022-12-22T09:06:25+0000,article,Video,Video,News,nyt://article/00bdd9a3-5415-542e-a762-f0e04583e9a2,1219,nyt://article/00bdd9a3-5415-542e-a762-f0e04583e9a2,A,6,NA,"Caught on Camera, Traced by Phone: The Russian Military Unit That Killed Dozens in Bucha",NA,NA,A Mountain of Evidence Implicates One Russian Regiment in Killings,NA,NA,NA,"By Yousur Al-Hlou, Masha Froliak, Dmitriy Khavin, Christoph Koettl, Haley Willis, Alexander Cardia, Natalie Reneau and Malachy Browne",,NA,150929,360,50
OK,Copyright (c) 2024 The New York Times Company. All Rights Reserved.,Ms. Sanders is the first Arkansan to deliver a State of the Union response since Bill Clinton.,https://www.nytimes.com/2023/02/08/us/sarah-huckabee-sanders-gop-biden-sotu.html,Ms. Sanders is the first Arkansan to deliver a State of the Union response since Bill Clinton.,"Gov. Sarah Huckabee Sanders of Arkansas delivered a scorching admonition of President Biden’s State of the Union address on Tuesday, casting him as the head of a failed administration hijacked by a “radical left” agenda that has delivered high gasoline prices and empty grocery shelves while teaching children to “hate one another on account of their race.”",The New York Times,,,2023-02-08T05:29:20+0000,article,Washington,U.S.,News,nyt://article/00bec5e1-aa39-5a0e-aa85-8bac06fb33a1,900,nyt://article/00bec5e1-aa39-5a0e-aa85-8bac06fb33a1,A,12,NA,"Sarah Huckabee Sanders, in G.O.P. response, criticizes Biden agenda as ‘woke fantasies.’",NA,NA,"In Republican Response, Sanders Criticizes Biden’s Agenda as ‘Woke Fantasies’",NA,NA,NA,By Michael C. Bender,,NA,150929,360,50
OK,Copyright (c) 2024 The New York Times Company. All Rights Reserved.,The vivid characters and the infectious melodies of the 1983 musical prove remarkably durable in Barrie Kosky’s madcap production at Komische Oper Berlin.,https://www.nytimes.com/2023/01/29/arts/music/review-in-la-cage-aux-folles-berlin.html,The vivid characters and the infectious melodies of the 1983 musical prove remarkably durable in Barrie Kosky’s madcap production at Komische Oper Berlin.,"BERLIN — In Jerry Herman and Harvey Fierstein’s “La Cage aux Folles,” the habitués of the show’s titular nightclub are enumerated as a “girl who needs a shave,” “both the riffraff and the royalty,” “eccentric couples” and “a nun with a Marine.” That description seemed to fit the fashionable and eclectic opening night audience of the Komische Oper Berlin’s new production of the Tony Award-winning 1983 musical.",The New York Times,,,2023-01-29T21:09:49+0000,article,Culture,Arts,Review,nyt://article/00bf77a3-43f0-5356-af0c-ec1e08b08f9a,887,nyt://article/00bf77a3-43f0-5356-af0c-ec1e08b08f9a,C,5,Music,Review: ‘La Cage aux Folles’ Brightens Up Berlin,Critic’s Pick,NA,A homegrown ‘Cage’ dazzles in Berlin,NA,NA,NA,By A.J. Goldmann,,NA,150929,360,50
OK,Copyright (c) 2024 The New York Times Company. All Rights Reserved.,Feeling stuck on today’s puzzle? We can help.,https://www.nytimes.com/2024/07/11/crosswords/spelling-bee-forum.html,Feeling stuck on today’s puzzle? We can help.,"Hi busy bees! Welcome to today’s Spelling Bee forum. There are a number of terms that appear in both this article and other online discussions of the Spelling Bee; a glossary of those terms compiled by Monicat, a Times reader, can be found below.",The New York Times,,,2024-07-11T07:00:04+0000,article,Games,Crosswords & Games,News,nyt://article/00bf82b2-b4c5-5e1d-b017-88e475b548c7,220,nyt://article/00bf82b2-b4c5-5e1d-b017-88e475b548c7,NA,NA,NA,Spelling Bee Forum,NA,NA,NA,NA,NA,NA,By New York Times Games,,The New York Times,150929,360,50
OK,Copyright (c) 2024 The New York Times Company. All Rights Reserved.,The letter demanding that the panel preserve its records — a step already required — was the latest indication that the G.O.P. is planning its own counter-investigation into the Jan. 6 attack.,https://www.nytimes.com/2022/11/30/us/politics/mccarthy-jan-6-committee.html,The letter demanding that the panel preserve its records — a step already required — was the latest indication that the G.O.P. is planning its own counter-investigation into the Jan. 6 attack.,"WASHINGTON — Representative Kevin McCarthy, the California Republican who is attempting to become the next House speaker, on Wednesday warned the special committee investigating the Jan. 6, 2021, attack on the Capitol that members of his party planned to launch an inquiry of their own into the panel’s work next year when Republicans assume control of the chamber.",The New York Times,,,2022-11-30T23:38:37+0000,article,Washington,U.S.,News,nyt://article/00c10ea8-d120-591f-950f-918e4cd1c567,730,nyt://article/00c10ea8-d120-591f-950f-918e4cd1c567,A,17,Politics,McCarthy Warns Jan. 6 Committee Republicans Will Investigate Its Work,NA,NA,G.O.P. Will Review Work of Jan. 6 Panel,NA,NA,NA,By Luke Broadwater,,NA,150929,360,50
OK,Copyright (c) 2024 The New York Times Company. All Rights Reserved.,Races in state legislatures are often quiet and turn on local issues like roads or schools. But a Supreme Court case could give these legislative bodies nearly absolute power over federal elections.,https://www.nytimes.com/2022/10/10/us/politics/supreme-court-state-legislature-elections.html,Races in state legislatures are often quiet and turn on local issues like roads or schools. But a Supreme Court case could give these legislative bodies nearly absolute power over federal elections.,"EASTPOINTE, Mich. — The conversation started with potholes.",The New York Times,,,2022-10-10T07:00:11+0000,article,Politics,U.S.,News,nyt://article/00c1f7c4-8047-5213-a16a-3a88488554d3,1506,nyt://article/00c1f7c4-8047-5213-a16a-3a88488554d3,A,1,Politics,Why Little-Noticed State Legislative Races Could Be Hugely Consequential,NA,NA,How Local Races Could Help Tilt Direction of U.S.,NA,NA,NA,By Nick Corasaniti,,NA,150929,360,50
OK,Copyright (c) 2024 The New York Times Company. All Rights Reserved.,"Since ancient times, poetry has been our way of paying attention to the world and our place in it.",https://www.nytimes.com/2023/07/16/opinion/poetry-christianity-faith.html,"Since ancient times, poetry has been our way of paying attention to the world and our place in it.","In the heat of the summer, this slow curve of the midyear, I find myself wanting to pause and catch my breath. As many people take summer vacations or simply enjoy a cold drink on their porch, it is a good time to take up new kinds of reading. I have written before about why I think poetry is crucial now, and I asked my former poetry teacher, Abram Van Engen, if he’d speak to us about how to read poetry.",The New York Times,,,2023-07-16T13:47:17+0000,article,OpEd,Opinion,Op-Ed,nyt://article/00c205ff-8740-58b7-85a3-43b1332eeb1c,1904,nyt://article/00c205ff-8740-58b7-85a3-43b1332eeb1c,NA,NA,NA,‘Why Does God Keep Making Poets?’,Tish Harrison Warren,NA,NA,NA,NA,NA,By Tish Harrison Warren,,NA,150929,360,50
OK,Copyright (c) 2024 The New York Times Company. All Rights Reserved.,His stunning declaration caused an instant sensation when he made it in 1961 and ignited a national debate over Americans’ viewing habits.,https://www.nytimes.com/2023/05/06/business/media/newton-n-minow-dead.html,His stunning declaration caused an instant sensation when he made it in 1961 and ignited a national debate over Americans’ viewing habits.,"Newton N. Minow, who as President John F. Kennedy’s new F.C.C. chairman in 1961 sent shock waves through an industry and touched a nerve in a nation addicted to banality and mayhem by calling American television “a vast wasteland,” died on Saturday at his home in Chicago.  He was 97. ",The New York Times,,,2023-05-06T19:49:53+0000,article,Obits,Business Day,Obituary (Obit),nyt://article/00c377e8-ec43-5293-a893-9cdd1f52418c,1963,nyt://article/00c377e8-ec43-5293-a893-9cdd1f52418c,B,8,Media,"Newton N. Minow, 97, Dies; F.C.C. Chief Deemed TV a ‘Vast Wasteland’",NA,NA,"Newton N. Minow, F.C.C. Chief Who Denounced Television, Dies at 97",NA,NA,NA,By Robert D. McFadden,,NA,150929,360,50
OK,Copyright (c) 2024 The New York Times Company. All Rights Reserved.,The Board of Regents announced that the former Republican governor is its choice to become chancellor. His selection has angered professors concerned about academic freedom.,https://www.nytimes.com/2022/02/15/us/sonny-perdue-georgia-chancellor.html,The Board of Regents announced that the former Republican governor is its choice to become chancellor. His selection has angered professors concerned about academic freedom.,"Georgia’s public university system said on Tuesday that former Gov. Sonny Perdue was its sole finalist to become chancellor, a choice that has outraged some professors and led a regional agency to threaten the accreditation of the 26-school system.",The New York Times,,,2022-02-16T00:07:50+0000,article,National,U.S.,News,nyt://article/00c45360-8234-51cd-8d70-c73255a5a5ad,581,nyt://article/00c45360-8234-51cd-8d70-c73255a5a5ad,A,14,NA,Sonny Perdue Is Sole Finalist to Lead Georgia’s Public Universities,NA,NA,Pick to Run Universities Draws Outcry In Georgia,NA,NA,NA,By Giulia Heyward,,NA,150929,360,50
OK,Copyright (c) 2024 The New York Times Company. All Rights Reserved.,"In 1981, Anthony Kline helped send a juvenile offender to prison for four decades. This year, in a twist of fate, he had a chance to decide her case again.",https://www.nytimes.com/2022/11/21/magazine/juvenile-justice-california.html,"In 1981, Anthony Kline helped send a juvenile offender to prison for four decades. This year, in a twist of fate, he had a chance to decide her case again.","None of Anthony Kline’s colleagues had ever seen it happen. The most senior justice on California’s First District Court of Appeal, Kline was asking to be transferred to the juvenile bench, at the advanced age of 83. Juvenile was the scrappy place you started a career, not the triumphant place you ended one. But after four decades in appeals, Kline was feeling estranged from real life. He wanted to spend a year in juvie before retiring.",The New York Times,,,2022-11-21T10:00:36+0000,article,Magazine,Magazine,News,nyt://article/00c47db0-e559-53f8-bf18-a7dafbf8e447,10594,nyt://article/00c47db0-e559-53f8-bf18-a7dafbf8e447,MM,22,NA,The Judge and the Case That Came Back to Haunt Him,NA,NA,The Wheels of Justice,NA,NA,NA,By Jesse Barron,,NA,150929,360,50
